time	V(input_signal)	V(v_out)	I(Speaker)
4.949891121809691e-06	2.562192e+00	2.086547e+00	2.608184e-01
5.041866598735148e-06	2.563347e+00	2.086954e+00	2.608693e-01
5.133842075660605e-06	2.564503e+00	2.087367e+00	2.609209e-01
5.225817552586063e-06	2.565658e+00	2.087786e+00	2.609732e-01
5.401595676188680e-06	2.567865e+00	2.088821e+00	2.611026e-01
5.440598961331812e-06	2.568355e+00	2.089067e+00	2.611333e-01
5.443661976020534e-06	2.568394e+00	2.089087e+00	2.611358e-01
5.449788005397979e-06	2.568471e+00	2.089126e+00	2.611407e-01
5.548805344056251e-06	2.569714e+00	2.089797e+00	2.612246e-01
5.647822682714524e-06	2.570958e+00	2.090478e+00	2.613097e-01
5.746840021372797e-06	2.572201e+00	2.091170e+00	2.613962e-01
5.845857360031070e-06	2.573445e+00	2.091871e+00	2.614839e-01
5.944874698689342e-06	2.574688e+00	2.092583e+00	2.615729e-01
6.043892037347615e-06	2.575932e+00	2.093306e+00	2.616632e-01
6.142909376005888e-06	2.577175e+00	2.094038e+00	2.617548e-01
6.159452474466034e-06	2.577383e+00	2.094152e+00	2.617690e-01
6.166027422853185e-06	2.577465e+00	2.094196e+00	2.617745e-01
6.167167524140413e-06	2.577480e+00	2.094203e+00	2.617754e-01
6.168307625427641e-06	2.577494e+00	2.094211e+00	2.617763e-01
6.169447726714869e-06	2.577508e+00	2.094218e+00	2.617773e-01
6.170587828002097e-06	2.577523e+00	2.094226e+00	2.617783e-01
6.171727929289324e-06	2.577537e+00	2.094234e+00	2.617793e-01
6.172868030576553e-06	2.577551e+00	2.094242e+00	2.617803e-01
6.174008131863780e-06	2.577565e+00	2.094250e+00	2.617813e-01
6.178643704978222e-06	2.577624e+00	2.094282e+00	2.617852e-01
6.180895460946816e-06	2.577652e+00	2.094297e+00	2.617871e-01
6.189053608175388e-06	2.577754e+00	2.094352e+00	2.617940e-01
6.197211755403960e-06	2.577857e+00	2.094406e+00	2.618007e-01
6.205369902632532e-06	2.577959e+00	2.094460e+00	2.618075e-01
6.213528049861103e-06	2.578062e+00	2.094514e+00	2.618142e-01
6.221686197089675e-06	2.578164e+00	2.094567e+00	2.618209e-01
6.229844344318247e-06	2.578266e+00	2.094620e+00	2.618275e-01
6.238002491546819e-06	2.578369e+00	2.094673e+00	2.618342e-01
6.258080731975350e-06	2.578621e+00	2.094806e+00	2.618507e-01
