time	V(dac_out)	V(after_filter)
7.067640870594988e-06	4.023438e+00	3.027459e+00
7.152640870594987e-06	4.023438e+00	3.037643e+00
7.182640870594987e-06	4.042969e+00	3.041242e+00
7.272640870594986e-06	4.042969e+00	3.052061e+00
7.282640870594986e-06	4.047852e+00	3.053266e+00
7.293890870594986e-06	4.062500e+00	3.054620e+00
7.301390870594987e-06	4.062500e+00	3.055523e+00
7.410140870594986e-06	4.062500e+00	3.068679e+00
7.440140870594986e-06	4.082031e+00	3.072326e+00
7.540140870594985e-06	4.082031e+00	3.084522e+00
7.570140870594985e-06	4.101562e+00	3.088197e+00
7.670140870594984e-06	4.101562e+00	3.100487e+00
7.700140870594983e-06	4.121094e+00	3.104182e+00
7.810140870594982e-06	4.121094e+00	3.117771e+00
7.840140870594982e-06	4.140625e+00	3.121484e+00
7.960140870594981e-06	4.140625e+00	3.136331e+00
7.963890870594981e-06	4.153646e+00	3.136796e+00
7.968890870594982e-06	4.160156e+00	3.137415e+00
7.980140870594981e-06	4.160156e+00	3.138805e+00
7.991390870594982e-06	4.160156e+00	3.140194e+00
8.002640870594981e-06	4.160156e+00	3.141584e+00
8.013890870594982e-06	4.160156e+00	3.142975e+00
8.025140870594981e-06	4.160156e+00	3.144366e+00
8.036390870594982e-06	4.160156e+00	3.145756e+00
8.047640870594981e-06	4.160156e+00	3.147148e+00
8.054783727737838e-06	4.159417e+00	3.148029e+00
8.061926584880696e-06	4.159156e+00	3.148910e+00
8.069069442023553e-06	4.159374e+00	3.149792e+00
8.076212299166409e-06	4.160072e+00	3.150674e+00
8.083355156309266e-06	4.161248e+00	3.151557e+00
8.090498013452124e-06	4.162904e+00	3.152440e+00
8.097640870594981e-06	4.165039e+00	3.153323e+00
8.117640870594981e-06	4.179688e+00	3.155790e+00
8.131390870594980e-06	4.179688e+00	3.157485e+00
8.136390870594981e-06	4.179688e+00	3.158102e+00
8.166390870594981e-06	4.179688e+00	3.161802e+00
8.236390870594980e-06	4.179688e+00	3.170430e+00
8.266390870594980e-06	4.199219e+00	3.174125e+00
8.386390870594979e-06	4.199219e+00	3.188904e+00
8.416390870594979e-06	4.218750e+00	3.192596e+00
8.463890870594979e-06	4.218750e+00	3.198453e+00
8.475140870594979e-06	4.218750e+00	3.199840e+00
8.482640870594980e-06	4.218750e+00	3.200765e+00
8.542640870594979e-06	4.218750e+00	3.208172e+00
8.572640870594979e-06	4.238281e+00	3.211879e+00
8.592462299166408e-06	4.238281e+00	3.214327e+00
8.612283727737836e-06	4.238281e+00	3.216778e+00
8.632105156309265e-06	4.238281e+00	3.219229e+00
8.651926584880692e-06	4.238281e+00	3.221683e+00
8.671748013452122e-06	4.238281e+00	3.224137e+00
8.691569442023549e-06	4.238281e+00	3.226593e+00
8.711390870594978e-06	4.238281e+00	3.229051e+00
8.741390870594978e-06	4.257812e+00	3.232770e+00
8.791390870594977e-06	4.257812e+00	3.238975e+00
8.798890870594979e-06	4.257812e+00	3.239905e+00
8.878890870594978e-06	4.257812e+00	3.249837e+00
8.908890870594978e-06	4.277344e+00	3.253561e+00
8.930140870594977e-06	4.277344e+00	3.256196e+00
8.937640870594978e-06	4.277344e+00	3.257129e+00
8.957640870594978e-06	4.277344e+00	3.259611e+00
8.987640870594977e-06	4.277344e+00	3.263335e+00
9.027640870594977e-06	4.277344e+00	3.268292e+00
9.038890870594976e-06	4.277344e+00	3.269686e+00
9.041390870594977e-06	4.277344e+00	3.269996e+00
9.043265870594976e-06	4.277344e+00	3.270227e+00
9.060765870594977e-06	4.282227e+00	3.272396e+00
9.080765870594977e-06	4.296875e+00	3.274870e+00
9.110765870594976e-06	4.296875e+00	3.278579e+00
9.120765870594976e-06	4.296875e+00	3.279816e+00
9.124515870594976e-06	4.296875e+00	3.280277e+00
9.173265870594976e-06	4.296875e+00	3.286295e+00
9.183623013452119e-06	4.296292e+00	3.287573e+00
9.193980156309262e-06	4.296058e+00	3.288851e+00
9.204337299166405e-06	4.296173e+00	3.290128e+00
9.214694442023549e-06	4.296638e+00	3.291404e+00
9.225051584880692e-06	4.297453e+00	3.292679e+00
9.235408727737835e-06	4.298617e+00	3.293954e+00
9.245765870594978e-06	4.300130e+00	3.295228e+00
9.255765870594978e-06	4.311523e+00	3.296457e+00
9.275765870594977e-06	4.316406e+00	3.298912e+00
9.369515870594976e-06	4.316406e+00	3.310409e+00
9.424515870594977e-06	4.316406e+00	3.317135e+00
9.454515870594976e-06	4.335938e+00	3.320798e+00
