time	V(in)	V(out1)	V(out2)
5.007030252090128e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.007215585282476e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.007401104739340e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.007586344799431e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.007772003954680e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.007957523411544e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.008142763471635e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.008328096663983e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.008513616120847e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.008699182143839e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.008884515336187e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.009070034793051e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.009255274853142e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.009440934008391e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.009626453465255e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.009811693525346e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.009997026717694e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.010182546174557e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.010368112197550e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.010553445389898e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.010738964846762e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.010924204906853e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.011109864062102e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.011295383518966e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.011480623579057e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.011665956771405e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.011851476228268e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.012037042251261e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.012222375443609e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.012407894900472e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.012593134960563e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.012778794115813e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.012964313572676e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.013149553632767e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.013334886825116e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.013520406281979e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.013705972304972e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.013891305497320e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.014076824954183e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.014262065014274e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.014447724169524e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.014633243626387e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.014818483686478e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.015003816878827e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.015189336335690e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.015374902358682e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.015560235551031e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.015745755007894e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.015930995067985e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.016116654223235e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.016302173680098e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.016487413740189e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.016672746932538e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.016858266389401e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.017043832412393e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.017229165604742e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.017414685061605e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.017599925121696e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.017785584276946e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.017971103733809e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.018156343793900e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.018341676986249e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.018527196443112e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.018712762466104e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.018898095658453e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.019083615115316e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.019268855175407e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.019454514330657e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.019531115612419e-02	2.500000e+00	0.000000e+00	4.973475e+00
5.019531162178548e-02	2.503255e+00	0.000000e+00	4.973475e+00
5.019531255310805e-02	2.516929e+00	0.000000e+00	4.973475e+00
5.019531289146828e-02	2.519531e+00	0.000000e+00	4.973475e+00
5.019531371642932e-02	2.519531e+00	0.000000e+00	4.973475e+00
5.019531416115108e-02	2.519531e+00	0.000000e+00	4.973475e+00
5.019531445763226e-02	2.519531e+00	0.000000e+00	4.938915e+00
5.019531475411343e-02	2.519531e+00	0.000000e+00	4.789157e+00
5.019531534707578e-02	2.519531e+00	0.000000e+00	4.282283e+00
5.019531634707577e-02	2.519531e+00	0.000000e+00	3.349757e+00
5.019531734707577e-02	2.519531e+00	0.000000e+00	2.417230e+00
5.019531834707577e-02	2.519531e+00	0.000000e+00	1.484704e+00
5.019531934707577e-02	2.519531e+00	0.000000e+00	7.576444e-01
5.019532134707577e-02	2.519531e+00	0.000000e+00	1.542278e-01
5.019532534707577e-02	2.519531e+00	0.000000e+00	-5.004594e-03
5.019533334707577e-02	2.519531e+00	0.000000e+00	1.975249e-03
5.019534934707577e-02	2.519531e+00	0.000000e+00	-8.783371e-04
5.019538134707577e-02	2.519531e+00	0.000000e+00	4.142305e-04
5.019544534707577e-02	2.519531e+00	0.000000e+00	-2.011557e-04
5.019557334707577e-02	2.519531e+00	0.000000e+00	9.912128e-05
5.019582934707577e-02	2.519531e+00	0.000000e+00	-4.920115e-05
5.019634134707577e-02	2.519531e+00	0.000000e+00	2.450993e-05
5.019736534707577e-02	2.519531e+00	0.000000e+00	-1.223323e-05
5.019941334707577e-02	2.519531e+00	0.000000e+00	6.111339e-06
5.051529520421863e-02	2.530594e+00	0.000000e+00	3.182794e-06
5.083117706136148e-02	2.542852e+00	0.000000e+00	9.394152e-07
5.114705891850434e-02	2.556306e+00	0.000000e+00	-6.187985e-07
5.146294077564720e-02	2.570954e+00	0.000000e+00	-1.491847e-06
5.177882263279006e-02	2.586798e+00	0.000000e+00	-1.679730e-06
5.209470448993292e-02	2.603836e+00	0.000000e+00	-1.182448e-06
5.241058634707577e-02	2.622070e+00	0.000000e+00	0.000000e+00
9.977386759707577e-02	4.985538e+00	0.000000e+00	-8.757887e-09
1.000000000000000e-01	5.000000e+00	0.000000e+00	4.684804e-02
1.000000006901013e-01	1.666667e+00	0.000000e+00	2.118154e-02
1.000000020703040e-01	0.000000e+00	0.000000e+00	-3.413241e-03
1.000000022826033e-01	0.000000e+00	0.000000e+00	-3.595785e-03
1.000000027072018e-01	0.000000e+00	0.000000e+00	-1.241142e-03
1.000000035563988e-01	0.000000e+00	0.000000e+00	2.377972e-05
1.000000037686981e-01	0.000000e+00	0.000000e+00	5.191788e-05
1.000000041932966e-01	0.000000e+00	0.000000e+00	1.734594e-05
1.000000049492699e-01	0.000000e+00	0.000000e+00	9.323951e-02
1.000000057984670e-01	0.000000e+00	0.000000e+00	4.214862e-01
1.000000059242244e-01	0.000000e+00	0.000000e+00	5.132221e-01
1.000000063014969e-01	0.000000e+00	0.000000e+00	8.650386e-01
1.000000065530118e-01	0.000000e+00	2.629660e-02	1.099583e+00
1.000000068045268e-01	0.000000e+00	1.402485e-01	1.334127e+00
1.000000073075566e-01	0.000000e+00	5.259319e-01	1.803216e+00
1.000000083075566e-01	0.000000e+00	1.362354e+00	2.735743e+00
1.000000093075566e-01	0.000000e+00	2.198777e+00	3.668269e+00
1.000000103075566e-01	0.000000e+00	3.035199e+00	4.468972e+00
1.000000113075566e-01	0.000000e+00	3.836330e+00	4.894104e+00
1.000000123075566e-01	0.000000e+00	4.375793e+00	4.980328e+00
1.000000143075566e-01	0.000000e+00	4.716773e+00	4.973100e+00
1.000000162127816e-01	0.000000e+00	4.726950e+00	4.973688e+00
1.000000179742555e-01	0.000000e+00	4.720022e+00	4.973267e+00
1.000000198783914e-01	0.000000e+00	4.724497e+00	4.973550e+00
1.000000217215496e-01	0.000000e+00	4.722533e+00	4.973421e+00
1.000000236317835e-01	0.000000e+00	4.723660e+00	4.973498e+00
1.000000254761852e-01	0.000000e+00	4.723103e+00	4.973458e+00
1.000000273690222e-01	0.000000e+00	4.723428e+00	4.973482e+00
1.000000292207380e-01	0.000000e+00	4.723254e+00	4.973469e+00
1.000000312394558e-01	0.000000e+00	4.723358e+00	4.973477e+00
1.000000333367725e-01	0.000000e+00	4.723305e+00	4.973473e+00
